GUID,SCIENTIFIC_NAME,Subspecies-tag,key notes,Subspecies-key,Subspecies-geography,Sub(1),Sub(2),Sub(3),COLLECTORS,COUNTRY,STATE_PROV,locality,VERBATIM_DATE,PARTS,sex,Here?,Condition,Comments,wc,tl,cul,tarsus
5624,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,Quelite,1-Feb-34,skin,male,y,good,adult,109.5,63.4,14.3,36.9
5632,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,12-Sep-33,skin,male,y,good ,adult,111.8,58.7,14.5,32.2
5637,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,San Batauto,19-Feb-34,skin,male,y,good,adult,107.3,68.6,14.2,31.1
5649,Callipepla douglasii,bensoni,bensoni,bensoni,bensoni,2,2,2,J. T. Wright,Mexico,Sonora,Soyopa,10-Oct-31,skin,male,y,good,adult,103.6,57.2,13.6,33
5650,Callipepla douglasii,bensoni,bensoni,bensoni,bensoni,2,2,2,J. T. Wright,Mexico,Sonora,Tecoripa,13-Nov-31,skin,female,y,good,adult,109.3,67.7,13.5,32.2
5652,Callipepla douglasii,douglasii,bensoni,bensoni,bensoni,1,2,2,J. T. Wright,Mexico,Sonora,Tecoripa,27-Oct-31,skin,male,y,good,adult,111.1,74.3,13.8,31.9
5653,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,J. T. Wright,Mexico,Sonora,Chinobampo,4-Mar-31,skin,male,y,good ,adult ,110.3,66.5,14.2,33.8
5654,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,5,1,J. T. Wright,Mexico,Sonora,Guirocoba,4-Apr-31,skin,male,y ,small patch of feathers missing from chin,adult ,104.7,59.2,14.2,33.3
5655,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,J. T. Wright,Mexico,Sonora,Camoa,31-Dec-31,skin,male,y,good,adult,109,65.7,13.1,34.6
5688,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,J. T. Wright,Mexico,Sinaloa,La Guasa,21-Dec-33,skin,female,y ,good ,adult  ,110.5,75.1,13.6,32
5689,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,12-Mar-34,skin,female,y ,good ,adult   ,108.1,69.4,14.5,30.2
5690,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,12-Mar-34,skin,female,y  ,good  ,adult,109.2,66.4,14.3,32.4
5692,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,Quelite,30-Jan-34,skin,female,y,good,adult,103.9,59.4,12.2,28.7
5693,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,San Batauto,20-Feb-34,skin,female,y,good,adult,101.9,59.6,14,31.8
6615,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,female,y,good,adult,108.5,64.8,12.8,30.3
6618,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,2-May-33,skin,female,y,good,adult,105.9,61.6,13.2,34.1
6641,Callipepla douglasii,bensoni,bensoni,bensoni,bensoni,2,2,2,Chester C. Lamb,Mexico,Sonora,"Rio Yaqui, 2 mi W Cocorit",8-Jun-33,skin,male,y,good,adult,110.7,62.9,14.3,29.8
6643,Callipepla douglasii,bensoni,bensoni,bensoni,bensoni,2,2,2,Chester C. Lamb,Mexico,Sonora,"Rio Yaqui, 2 mi W Cocorit",9-Jun-33,skin,male,y,good,adult,112.7,66.8,15.3,33.6
18033,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,San Ignacio,18-Mar-37,skin,male,y,good,adult,112,67.3,14.5,32.7
18037,Callipepla douglasii,douglasii,bensoni,bensoni,douglasii,1,2,1,Chester C. Lamb,Mexico,Sinaloa,San Ignacio,18-Mar-37,skin,female,y,good,adult,105.1,60.8,13.9,30.2
5626,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Quelite,1-Feb-34,skin,male,y,good,adult,111.8,69.3,13.8,33.2
5630,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,El Molino,26-Oct-33,skin,male,y,good,adult,107,59.8,13.6,30.3
5636,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Quelite,1-Feb-34,skin,male,y ,good ,adult ,111.5,64.4,14.6,34.6
5638,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,San Batauto,20-Feb-34,skin,male,y,good ,adult,107.7,78.2,14.4,33.2
5646,Callipepla douglasii,bensoni,douglasii,douglasii,bensoni,2,1,2,J. T. Wright,Mexico,Sonora,Soyopa,10-Oct-31,skin,female,y,good,adult,101.8,45,12.7,30.9
5647,Callipepla douglasii,bensoni,douglasii,douglasii,bensoni,2,1,2,J. T. Wright,Mexico,Sonora,Soyopa,10-Oct-31,skin,male,y,good,adult,109.8,45.2,14.2,31.4
5648,Callipepla douglasii,bensoni,douglasii,douglasii,bensoni,2,1,2,J. T. Wright,Mexico,Sonora,Soyopa,10-Oct-31,skin,female,y,good,adult,102,47.7,12.3,29.4
5686,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Quelite,1-Feb-34,skin,female,y ,good ,adult - very white throat ,110.1,65.8,13.5,31.7
6623,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,30-Apr-33,skin,female,y,good,adult,106.1,60.1,13,33.8
6636,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,J. T. Wright,Mexico,Sonora,Guirocoba,3-Jun-33,skin,female,y,good,adult,104.5,64.9,13.5,28.4
8758,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,12-Jun-34,skin,male,y,good,adult,111.5,72.4,13.3,33.4
8762,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,La Reforma,21-Apr-34,skin,female,y,good,adult,105.7,58.3,12.7,35.4
11885,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,El Rosario area,5-Oct-34,skin,male,y,good,adult,110,60.5,14.6,36.1
11886,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,El Rosario area,12-Sep-34,skin,male,y,good,adult,107,65.2,14.2,31.9
15122,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,"Arroyo Guayabito, 15 mi E Quila",4-Jan-36,skin,male,y,good,adult,107.3,55.7,13.6,31.1
17391,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,Culiacan,30-Dec-36,skin,male,y,good,adult,107.5,64.6,13.6,33.8
18036,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Sinaloa,San Ignacio,14-Mar-37,skin,male,y,good,adult,102.8,62.1,13.4,27.1
19707,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,Chester C. Lamb,Mexico,Durango,Tamazula,28-Nov-37,skin,male,y,good,adult,102.2,70.9,14.2,27.8
30854,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,J. Felix,Mexico,Sinaloa,Cacalotan,14-Aug-41,skin,female,y,good,adult,103.2,56.9,13.6,29.7
30863,Callipepla douglasii,douglasii,douglasii,douglasii,douglasii,1,1,1,J. Felix,Mexico,Sinaloa,Cacalotan,12-Aug-41,skin,female,y,good,adult,102.7,61.1,13.2,31.1
21424,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,Tepic area,26-Jun-38,skin,male,y,good,adult,103.3,50.3,13.1,31.3
21425,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,Tepic area,28-Jun-38,skin,male,y,good,adult,112,65.4,14.8,32.3
21426,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,Tepic area,28-Jun-38,skin,female,y,good,adult,99.4,52.3,13.3,29.8
21904,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,Tepic area,31-Jul-38,skin,male,y,good,adult,110.3,60.7,14.1,32.7
21905,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,Tepic area,3-Aug-38,skin,female,y,good,adult,99.7,54.7,13.3,30.2
28209,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,"Zauta, 7 miles S Santiago Ixcuintla",30-Apr-40,skin,male,y,good,adult,107.3,57.1,14.2,33.8
28210,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,"Zauta, 7 miles S Santiago Ixcuintla",5-May-40,skin,female,y,good,adult,110.5,63.3,14.6,31.9
28211,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,"Zauta, 7 miles S Santiago Ixcuintla",14-May-40,skin,male,y,good,adult,101.9,52.2,13.5,32.1
41889,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,"Zauta, 7 miles S Santiago Ixcuintla",19-Apr-46,skin,female,y,good,adult,101,55.4,13.3,32.8
